"Product Group ID","Category ID","Sub Category ID","Manufacturer ID","Product Description","Product Information","Group Code"
86,5,21,13,"Winsor & Newton Fineliner Sepia Pen Set 3x","The Sepia Fineliner Pen is perfect for traditional sketching, featuring a smoothly tapered nib and a longer barrel to sit comfortably in the hand and allow for flexible grip adjustments. Water resistant, non-fading pigment ink, consistent and reliable ink flow. This set includes 3 Sepia Fineliners: 0.1, 0.3 and 0.5 mm nibs.","winsor-newton-fineliner-set-sepia-set"
87,5,21,13,"Winsor & Newton Fineliner Black Pen Set 5x","The Black Fineliner Pen fits every style of sketching, featuring a smoothly tapered nib and a longer barrel to sit comfortably in the hand and allow for flexible grip adjustments. A pen that helps you capture your ideas more fluidly. Optimised for sketching and drawing: water resistant, non-fading pigment ink, consistent and reliable ink flow. Included in this set: fineliners in 5 nib sizes 0.1, 0.3, 0.5, 0.8 and 1.0mm.","winsor-newton-fineliner-set-black-assorted-set-5x"
88,4,16,13,"Winsor & Newton Professional Watercolour Paper Cold Press 300gsm","Rough paper has a pronounced tooth for achieving watercolours paintings with the most texture and granulation effects. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this gummed block keeps the paper stretched as it dries. The finished piece is then removed free from any buckling. Each block contains 20 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-cold-press"
89,4,16,13,"Winsor & Newton Professional Watercolour Paper Hot Press 300gsm","Rough paper has a pronounced tooth for achieving watercolours paintings with the most texture and granulation effects. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this gummed block keeps the paper stretched as it dries. The finished piece is then removed free from any buckling. Each block contains 20 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-hot-press"
90,4,16,13,"Winsor & Newton Professional Watercolour Paper Rough 300gsm","Rough paper has a pronounced tooth for achieving watercolours paintings with the most texture and granulation effects. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this gummed block keeps the paper stretched as it dries. The finished piece is then removed free from any buckling. Each block contains 20 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-rough"
91,4,16,13,"Winsor & Newton Professional Watercolour Paper Sheet Cold Press 300gsm","Hot-pressed paper is the smoothest watercolour paper with almost no tooth. With its even surface it is often used for consistent washes and fine detail. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this paper sheet has 4 sides with soft torn deckle edges and a watermark as a symbol of authenticity and distinction. Each bag contains 10 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-sheet-cold-press"
92,4,16,13,"Winsor & Newton Professional Watercolour Paper Sheet Hot Press 300gsm","Hot-pressed paper is the smoothest watercolour paper with almost no tooth. With its even surface it is often used for consistent washes and fine detail. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this paper sheet has 4 sides with soft torn deckle edges and a watermark as a symbol of authenticity and distinction. Each bag contains 10 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-sheet-hot-press"
93,4,16,13,"Winsor & Newton Professional Watercolour Paper Sheet Rough 300gsm","Hot-pressed paper is the smoothest watercolour paper with almost no tooth. With its even surface it is often used for consistent washes and fine detail. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this paper sheet has 4 sides with soft torn deckle edges and a watermark as a symbol of authenticity and distinction. Each bag contains 10 sheets of 300gsm paper.","winsor-newton-professional-watercolour-paper-sheeet-rough"
94,4,16,13,"Winsor & Newton Professional Watercolour Journal Spiral Bound Cold Press 300gsm 5” x 7”","Cold-pressed paper has a medium grain with a less pronounced tooth than rough paper, and is an all-round paper for both detail and textured effects. Formed in a traditional cylinder mould our watercolour paper gives the appearance of being handmade. All of our watercolour papers are designed to withstand saturation, and this spiral journal is an ideal size and format for painting on the go. Each pad contains 15 sheets of 300gsm paper.","winsor-newton-professional-watercolour-journal-sprial-bound-cold-press"
95,4,16,13,"Winsor & Newton Watercolour Journal Spiral Bound Cold Press 300gsm","This cold-pressed paper has a medium grain and is thought to produce the brightest watercolour paintings. This is because the increased surface area reflects more light. All of our watercolour papers are designed to withstand saturation, so you can be confident the paper won’t cockle.","winsor-newton-watercolour-journal-sprial-bound-cold-press"
96,4,16,13,"Winsor & Newton Watercolour Pad Cold Press 300gsm","This cold-pressed paper has a medium grain and is thought to produce the brightest watercolour paintings. This is because the increased surface area reflects more light. All of our watercolour papers are designed to withstand saturation, so you can be confident the paper won’t cockle.","winsor-newton-watercolour-pad"
97,4,17,13,"Winsor & Newton Drawing Paper Spiral Pad Medium 150gsm","Medium Surface Drawing Paper is suitable for a variety of drawing and sketching applications and media including pencil, coloured pencil, pastel, oil pastel and charcoal. The paper weights range from 150-220gsm and are available in gummed and spiral pads, sheets and roll.","winsor-newton-drawing-paper-spiral-pad"
98,4,17,13,"Winsor & Newton Drawing Paper Spiral Pad Smooth 150gsm","Smooth Surface Drawing Paper is suitable for a variety of drawing and sketching techniques such as calligraphy, technical pen and coloured pencil techniques. The paper weights range from 150-220gsm and are available in gummed and spiral pads, sheets and roll.","winsor-newton-drawing-paper-spiral-pad-smooth"
99,4,15,13,"Winsor & Newton Sketching Paper Spiral Cartridge Pad 110gsm","Our medium-textured cartridge spiral pads are ideal for sketching and drawing with pencils, pastels and charcoals, holding line and graduation well. Winsor & Newton’s portable sketch pad opens perfectly flat and include easy to remove micro-perforated sheets.","winsor-newton-sketching-paper-spiral-pad"
100,4,15,13,"Winsor & Newton Spiral Sketchbook 110gsm","These sketch books are made with 110gsm acid-free paper, to ensure longevity. Each sheet is perforated along the edge to allow for easy removal. They are suitable for use with pencil, pen and ink and light watercolour washes.These high quality black case bound hard black sketch books are available in two styles; one is case bound with a classic leather effect black cover and the second is a wire-o style hard backed sketch book. Both styles contain 80 perforated sheets of 110gsm cartridge paper.","winsor-newton-sprial-sketchbook"
101,4,15,13,"Winsor & Newton Hardbound Sketchbook 110gsm","These sketch books are made with 110gsm acid-free paper, to ensure longevity. Each sheet is perforated along the edge to allow for easy removal. They are suitable for use with pencil, pen and ink and light watercolour washes.These high quality black case bound hard black sketch books are available in two styles; one is case bound with a classic leather effect black cover and the second is a wire-o style hard backed sketch book. Both styles contain 80 perforated sheets of 110gsm cartridge paper.","winsor-newton-hardbound-sketchbook"
102,4,15,13,"Winsor & Newton Bristol Board 250gsm","The Bristol Board range is 250gsm/114lb in weight with an extra smooth, bright white surface. It is ideal for fine detail drawings and illustrations with pencil, technical pen, ink and airbrush. 100% acid and wood-free it has a strong surface for repeated working and erasing and is suitable for light washes without cockling.","winsor-newton-bristol-board"
103,4,18,13,"Winsor & Newton Mixed Media Paper Spiral Pad 250gsm","Winsor & Newton’s mixed media paper is versatile and multipurpose. Heavyweight as well as non-absorbent, it combines the characteristics of watercolour and acrylic papers with those of drawing papers. Free from acids and optical brighteners, this paper is of archival quality for stability and resistance to ageing and is available in 250 gsm paper padof 30 sheets.","winsor-newton-mixed-media-paper-spiral-pad"
104,4,18,13,"Winsor & Newton Black Mixed Media Paper Pad 200gsm","Winsor & Newton’s black mixed media paper is versatile and multipurpose for a variety of design&illustration, crafts and decorative arts. Ideal to use with white, opaque, and metallic colours, either in ink, marker, or across other wet and dry techniques to create contrasting and vibrant effects. Available in 200 gsm paper pads of 25 sheets.","winsor-newton-black-mixed-media-paper-pad"
105,4,18,18,"Stillman & Birn Mixed Media Paper Nova Medium Grain 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-nova-medium"
106,4,18,18,"Stillman & Birn Mixed Media Paper Beta Cold Press 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-beta-cold-press"
107,4,18,18,"Stillman & Birn Mixed Media Paper Alpha Medium Grain 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-alpha-medium"
108,4,18,18,"Stillman & Birn Mixed Media Paper Delta Cold Press 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-delta-cold-press"
109,4,18,18,"Stillman & Birn Mixed Media Paper Epsilon Smooth Grain 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-epsilon-smooth"
110,4,18,18,"Stillman & Birn Mixed Media Paper Gamma Medium Grain 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-gamma-medium"
111,4,18,18,"Stillman & Birn Mixed Media Paper Zeta Smooth Grain 150gsm","Unbound sheets to work in plein aire, in a studio on an easel, or to be able to tape sheets to an art board for increased surface stability with wet techniques.","stillman-birn-mixed-media-paper-zeta-smooth"
112,6,23,4,"Liquitex Bio Based Medium Matte Medium","A planet-positive way to give your paint a matte finish, while thinning and extending its volume. Or use as a collaging adhesive and fixative.","liquitex-bio-based-medium-matte-medium"
113,6,23,4,"Liquitex Bio Based Medium Matte Gel","A planet-positive way to give your paint a matte finish, while thinning and extending its volume. Or use as a collaging adhesive and fixative.","liquitex-bio-based-medium-matte-gel"
114,6,23,4,"Liquitex Bio Based Medium Gloss","A planet-positive way to give your paint a matte finish, while thinning and extending its volume. Or use as a collaging adhesive and fixative.","liquitex-bio-based-medium-gloss"
115,6,23,4,"Liquitex Bio Based Medium Gloss Gel","A planet-positive way to give your paint a matte finish, while thinning and extending its volume. Or use as a collaging adhesive and fixative.","liquitex-bio-based-medium-gloss-gel"
116,6,23,13,"Winsor & Newton Professional Acrylic Gloss Medium","Maintains no colour shift from wet to dry when used with Professional Acrylic. Increases the depth, transparency and flow of colour for blending or fine detail. Provides an even gloss finish. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-gloss-medium"
117,6,23,13,"Winsor & Newton Professional Acrylic Gloss Medium","Gives colour a matte finish whilst also improving transparency and flow of the colour, great for blending or fine detail. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-matt-medium"
118,6,24,13,"Winsor & Newton Professional Acrylic Gloss UV Varnish","Dries to an even gloss finish, and can be mixed with Professional Acrylic Matte Varnish to vary the final finish. Can be removed with Professional Acrylic Varnish Remover. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-gloss-uv-varnish"
119,6,24,13,"Winsor & Newton Professional Acrylic Satin UV Varnish","Dries to an even satin finish. Can be removed with Professional Acrylic Varnish Remover. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-satin-uv-varnish"
120,6,24,13,"Winsor & Newton Professional Acrylic Matt UV Varnish","Dries to an even matte finish, and can be mixed with Professional Acrylic Gloss Varnish to vary the final finish. Can be removed with Professional Acrylic Varnish Remover. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-matt-uv-varnish"
121,6,24,4,"Liquitex Professional Mediums Gloss Varnish","Seal your acrylic work with a transparent, gloss acrylic layer which is breathable, permanent and protects against UV damage.","liqiutex-professional-mediums-gloss-varnish"
122,6,24,4,"Liquitex Professional Mediums High Gloss Varnish","Seal your acrylic work with a transparent, high gloss acrylic layer which is breathable, permanent and protects against UV damage","liqiutex-professional-mediums-high-gloss-varnish"
123,6,24,4,"Liquitex Professional Mediums Matte Varnish","Seal your acrylic work with a transparent, matte acrylic layer which is breathable, permanent and protects against UV damage.","liqiutex-professional-mediums-matte-varnish"
124,6,24,4,"Liquitex Professional Mediums Soluver Matte Varnish Spray 400 ml","Seal your acrylic work with a transparent, matte acrylic layer which is breathable, permanent and protects against UV damage.","liquitex-professional-mediums-soluvar-matte-varnish-spray"
125,6,24,4,"Liquitex Professional Mediums Matte Varnish Spray 400 ml","Seal your acrylic work with a transparent, matte acrylic layer which is breathable, permanent and protects against UV damage","liquitex-professional-mediums-matte-varnish-spray"
126,6,24,4,"Liquitex Professional Mediums Gloss Varnish Spray 400 ml","Seal your acrylic work with a transparent, gloss acrylic layer which is breathable, permanent and protects against UV damage.","liquitex-professional-mediums-gloss-varnish-spray"
127,6,25,4,"Liquitex Professional Mediums Modeling Paste","Acrylic and marble putty to build texture on rigid supports and create 3D forms.","liquitex-professional-mediums-modeling-paste"
128,6,25,4,"Liquitex Professional Mediums Flexible Modeling Paste","Acrylic and marble putty to build textures on semi-flexible supports and create 3D forms.","liquitex-professional-mediums-flexible-modeling-paste"
129,6,25,4,"Liquitex Professional Mediums Gloss Gel Medium","Increase gloss, extend volume and thicken, while extending open time - or use as a collaging adhesive.","liquitex-professional-mediums-gloss-gel-medium"
130,6,25,4,"Liquitex Professional Mediums Matte Gel","Reduce shine, extend volume and thicken, while extending open time - or use as a strong collaging adhesive.","liquitex-professional-mediums-matte-gel"
131,6,25,13,"Winsor & Newton Professional Acrylic Mediums Modeling Paste","This modelling paste is lightweight and flexible so it doesn’t shrink or crack. Increases opacity, body and structure and is ideal for carving, sanding and building extreme textures. It can be used to build up depth in layers, and either overpainted when dry or mixed with colour. Dries to an even matte finish. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-mediums-modeling-paste"
132,6,25,13,"Winsor & Newton Professional Acrylic Mediums Gloss Gel","Maintains no colour shift from wet to dry when used with Professional Acrylic. Increases transparency, depth and gloss of colour and maintains the thickness of the colour with good brush stroke retention. Dries to an even gloss finish. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-mediums-gloss-gel"
133,6,25,13,"Winsor & Newton Professional Acrylic Mediums Matt Gel","Gives colour a matte finish whilst also maintaining the thickness of the colour with good brush stroke retention. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-mediums-matt-gel"
134,6,26,4,"Liquitex Professional Mediums Flow-aid Additive 118 ml","Dramatically increase the flow of your color/mediums while minimizing brush strokes.","liquitex-professional-mediums-flow-aid-additive"
135,6,26,4,"Liquitex Professional Mediums Liquithick Additive 237 ml","Create custom viscosity and a matte finish without increasing paint transparency.","liquitex-professional-mediums-liquithick-additive"
136,6,26,4,"Liquitex Professional Mediums Slow-Dri Fluid Additive 118 ml","Slow drying time by 40%, without affecting color opacity, so you can work your paint for longer.","liquitex-professional-mediums-slow-dri-fluid-additive"
137,6,26,4,"Liquitex Professional Mediums Slow-Dri Gel Additive 237 ml","Slow drying time by 40%, without affecting color opacity, so you can work it for longer.","liquitex-professional-mediums-slow-dri-gel-additive"
138,6,26,13,"Winsor & Newton Professional Acrylic Mediums Flow Improver","Maintains no colour shift from wet to dry when used with Professional Acrylic. Increases the flow of colour allowing the application of areas of flat, even colour without changing colour strength. Also maintains the stability of colour and slightly slows drying. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.",
139,6,26,13,"Winsor & Newton Professional Acrylic Slow Drying Medium","Maintains no colour shift from wet to dry when used with Professional Acrylic. Slows drying to give more working time of colour for extended blending and manipulation. Please note this product is going through a transition period with the label, you may receive products labelled as ARTISTS' instead of PROFESSIONAL, rest assured the formula remains the same.","winsor-newton-professional-acrylic-slow-drying-medium"
140,5,21,4,"Liquitex Muted Collection Ink Set","Discover Acrylic Ink, our ultra-fluid professional acrylic. Originally a special release, now permanent, this set brings together the full range of Acrylic Ink muted colors and Titanium White to create tints and pastels.","liquitex-muted-collection-ink-set"
141,1,2,4,"Liquitex Heavy Body Acrylic Set 6x22ml Classic","Heavy Body Acrylic is our highest viscosity professional acrylic. Broaden your palette with this collection of classic and popular colors.","liquitex-heavy-body-acrylic-set-6x22ml-classic"
142,1,1,13,"Winsor & Newton Winton Oil Colors","Winton Oil Colour offers quality and affordability by using moderately priced pigments, rather than reducing the pigment load and compromising colour performance. The high level of pigmentation provides good covering power and tinting strength.","winsor-newton-winton-oil-colors"
143,4,15,18,"Stillman & Birn Alpha Series Softcover Premium Sketchbook","The Alpha Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm (100 lb cover) white paper that has been carefully sewn into a flexible and rugged softcover binding. The white, mixed media paper has a medium grain surface and works well with all dry media, light washes, and inks. Special rounded corners prevent frayed edges. This portrait sketchbook comes in a few different sizes.  42 sheets, 92 pages.","stillman-birn-alpha-softcover"
144,4,15,18,"Stillman & Birn Beta Series Softcover Premium Sketchbook","The Beta Series Sketchbook from Stillman & Birn features extra heavyweight, 270 gsm (100 lb cover) white paper that has been carefully sewn into a flexible and rugged softcover binding. The mixed media, cold press paper boasts a substantial tooth with enhanced wet and tear strength. Perfect for dry and wet media, watercolor and ink. Special rounded corners prevent frayed edges. 28 sheets, 56 pages, 5.5"" x 8.5"".","stillman-birn-beta-softcover"
145,4,15,18,"Stillman & Birn Gamma Series Softcover Premium Sketchbook","The Gamma Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm (100 lb cover) ivory paper that has been carefully sewn into a flexible and rugged softcover binding. The mixed media, medium grain paper works well with dry media, light washes and inks. Special rounded corners prevent frayed edges.  48 sheets, 96 pages, 5.5"" x 8.5"".","stillman-birn-gamma-softcover"
146,4,15,18,"Stillman & Birn Nova Series Softcover Premium Sketchbook","The Nova Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm white paper that has been carefully sewn into a flexible and rugged softcover binding. The white, mixed media paper has a medium grain surface and works well with all dry media, light washes, and inks. Special rounded corners prevent frayed edges. 46 sheets, 92 pages, 5.5"" x 8.5"".","stillman-birn-nova-softcover"
147,4,15,18,"Stillman & Birn Epsilon Series Softcover Premium Sketchbook","The Epsilon Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm (100 lb cover) white paper that has been carefully sewn into a flexible and rugged softcover binding. The mixed media, smooth paper is great for pen & ink, dry media and light washes. Special rounded corners prevent frayed edges. 48 sheets, 96 pages.","stillman-birn-epsilon-softcover"
148,1,4,4,"Liquitex Professional Acrylic Gouache","Meet Acrylic Gouache, the most highly pigmented of all our paints. This color set gives you endless mixing possibilities, while Titanium White and Mars Black can be used on their own or to tint and shade.","liquitex-acrylic-gouache"
149,1,3,13,"Winsor & Newton Cotman Watercolor Set  - Pocket Set","Discover Cotman Watercolours made with quality, fine art pigments in a pocket-sized set. Includes a brush and palettes with multiple mixing areas. Palette Pocket Set was previously named Pocket Plus.","winsor-newton-cotman-watercolor-pocket-set"
